"CountryCode","SeriesCode","DESCRIPTION",
"CAF","IT.NET.USER.ZS","Société Centrafricaine de Télécommunications (SOCATEL).",
"CAF","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"CAF","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"CAF","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"CAF","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"CAF","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CAN","IT.CEL.SETS.P2","Statistics Canada. Canadian Radio-television and Telecommunications Commission.",
"CAN","IT.MLT.MAIN.P2","Statistics Canada. Canadian Radio-television and Telecommunications Commission.",
"CAN","IT.NET.BBND.P2","Statistics Canada. Canadian Radio-television and Telecommunications Commission.",
"CAN","IT.NET.USER.ZS","Statistics Canada. Canadian Radio-television and Telecommunications Commission.",
"CAN","SP.DYN.LE00.FE.IN","Data sources : Statistics Canada, United Nations World Population Prospects",
"CAN","SP.DYN.LE00.MA.IN","Data sources : Statistics Canada, United Nations World Population Prospects",
"CAN","SP.DYN.TFRT.IN","Data sources : Statistics Canada, United Nations World Population Prospects",
"CAN","SP.POP.GROW","Data sources: Statistics Canada",
"CAN","SP.POP.TOTL","Data sources : Statistics Canada",
"CHE","IT.CEL.SETS.P2","Swisscom. From 1999: OFCOM.",
"CHE","IT.MLT.MAIN.P2","Swisscom. From 1999: OFCOM.",
"CHE","IT.NET.BBND.P2","Swisscom. From 1999: OFCOM.",
"CHE","IT.NET.USER.ZS","Swisscom. From 1999: OFCOM.",
"CHE","SP.DYN.LE00.FE.IN","Data sources : Eurostat, Swiss Federal Statistical Office",
"CHE","SP.DYN.LE00.MA.IN","Data sources : Eurostat, Swiss Federal Statistical Office",
